FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
1482,1,0,0,0,28.945895,5.155840,0.405504,6.635520,0.677408,0.298891,11.222857,3.277843,0.074334,0.018972,0.037011,-15.591138,-3.507998,-1.908732,-1.882606,-1.848394,1.403635
1483,1,0,0,0,28.962511,5.164032,0.385024,6.585344,0.678816,0.320040,13.441676,4.613365,0.081487,0.349898,0.022082,-14.604581,-3.443305,-2.361266,-2.343227,-2.319589,-1.538617
1484,1,0,0,0,28.979170,5.131264,0.382976,6.543360,0.674816,0.448180,13.321622,1.802674,0.094861,0.366693,0.032346,-16.760574,-3.334138,-2.025987,-1.998306,-1.975602,-1.254346
1485,1,0,0,0,28.995833,5.151744,0.381952,6.555648,0.673792,0.328126,13.339662,1.921795,0.080865,0.342122,0.025193,-16.798206,-3.485293,-2.398588,-2.380549,-2.357223,-1.751044
1486,1,0,0,0,29.012496,5.123072,0.378880,6.554624,0.675488,0.365138,12.401625,1.693195,0.061271,0.010264,0.032346,-16.799452,-3.483739,-0.912534,-0.889518,-0.857172,0.173549
1487,1,0,0,0,29.029145,5.167104,0.388096,6.785024,0.675648,0.320351,13.313847,2.772124,0.054429,0.370736,0.022704,-15.623796,-3.479696,-2.178076,-2.160037,-2.138577,-1.579984
1488,1,0,0,0,29.045806,5.149696,0.395264,6.610944,0.680960,0.310709,13.401244,1.769083,0.061582,0.357984,0.023327,-16.752176,-3.481562,-2.375574,-2.357224,-2.332342,-1.637834
1489,1,0,0,0,29.062462,5.142528,0.378880,6.531072,0.671648,0.318796,13.298295,1.729895,0.083975,0.395618,0.036078,-16.870987,-3.484361,-2.156615,-2.137332,-2.107785,-1.357915
1490,1,0,0,0,29.079131,5.143552,0.388096,6.588416,0.679488,0.338390,13.337795,2.041537,0.085531,0.255970,0.040122,-16.724186,-3.500223,-2.053979,-2.036561,-2.012924,-1.058714
1491,1,0,0,0,29.095805,5.152768,0.430080,6.625280,0.674432,0.276808,13.343393,2.449907,0.078688,0.357362,0.031102,-16.689350,-3.508309,-2.090679,-2.068907,-2.041226,-1.336454
1492,1,0,0,0,29.112463,5.126144,0.392192,6.598656,0.676864,0.319729,13.352725,2.005148,0.074023,0.352697,0.032657,-16.802252,-3.478451,-2.288488,-2.254586,-2.229394,-1.674534
1493,1,0,0,0,29.129097,5.149696,0.385024,6.543360,0.673792,0.312575,13.446652,1.849638,0.049763,0.297646,0.025193,-16.623104,-3.444239,-2.096277,-2.067974,-2.041226,-1.232574
1494,1,0,0,0,29.145757,5.122048,0.384000,6.534143,0.672768,0.284273,11.160653,1.967825,0.056606,0.008709,0.025815,-16.913595,-3.483428,-0.171372,-0.150223,-0.121609,1.530531
1495,1,0,0,0,29.162443,5.153792,0.392192,6.676480,0.674816,0.405882,13.373563,4.611187,0.092373,0.339323,0.023638,-14.426678,-3.514219,-2.141997,-2.121159,-2.093167,-1.204271
1496,1,0,0,0,29.179070,5.174272,0.399360,6.621184,0.675840,0.278985,13.380716,2.129245,0.063137,0.379134,0.026126,-16.804428,-3.456059,-2.354114,-2.332964,-2.304972,-1.764730
1497,1,0,0,0,29.195729,5.144576,0.385024,6.564864,0.673632,0.338701,13.360811,1.637522,0.052873,0.377268,0.020838,-16.846106,-3.485917,-2.465148,-2.448042,-2.421916,-1.862391
